Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
bus_freq_800 MHz.cfg.txt, 3.42906, -7.5, 0.125, 1111.32, 232.752, 27.503, 2570.09, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_533 MHz.cfg.txt, 3.21752, 149.043, 0.125, 834.287, 165.084, 27.503, 2570.09, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_400 MHz.cfg.txt, 3.12514, 305, 0.125, 696.287, 131.376, 27.503, 2570.09, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_667 MHz.cfg.txt, 3.31909, 54.8126, 0.125, 973.324, 199.044, 27.503, 2570.09, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
