Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
bus_freq_800 MHz.cfg.txt, 3.42906, -57.5, 0.125, 1243.32, 232.752, 27.503, 1517.07, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_533 MHz.cfg.txt, 3.21752, -8.33313e+06, -14999.5, 1131.81, 165.084, 27.503, 174.571, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_400 MHz.cfg.txt, 3.12514, -8.33298e+06, -14999.5, 919.572, 131.376, 27.503, 174.571, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
bus_freq_667 MHz.cfg.txt, 3.31909, 4.81259, 0.125, 1083.37, 199.044, 27.503, 1517.07, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
