Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
technology_0.05.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
technology_0.08.txt, 15.1154 ns, 31.514 ns, 49.6269 ns, 20.4337 ns, 19.3754 ns, 4.71394 ns, 2.6163 nJ, 3.39552 nJ, 3.39558 nJ, 2.14692 nJ, 142.941 mm2, 204.656 mm2, 46.3928%, 11.0726 mm, 18.4352 mm, 0.5292 mm2, 1.26253 ns, 0.111033 nJ
technology_0.04.txt, 8.95113 ns, 18.6489 ns, 29.7352 ns, 13.5473 ns, 11.6319 ns, 2.93677 ns, 0.815389 nJ, 1.21655 nJ, 1.21657 nJ, 0.649319 nJ, 34.4548 mm2, 49.907 mm2, 47.6338%, 5.42051 mm, 9.18266 mm, 0.1323 mm2, 0.54564 ns, 0.0262543 nJ
technology_0.09.txt, 18.0568 ns, 35.6491 ns, 55.3879 ns, 22.3317 ns, 21.4243 ns, 5.32576 ns, 3.20936 nJ, 4.04446 nJ, 4.04454 nJ, 2.67872 nJ, 178.421 mm2, 254.739 mm2, 46.0917%, 12.348 mm, 20.5335 mm, 1.1907 mm2, 1.68548 ns, 0.200701 nJ
technology_0.032.txt, 14.1027 ns, 24.4218 ns, 42.9814 ns, 13.7438 ns, 19.0677 ns, 2.6953 ns, 0.61397 nJ, 0.927883 nJ, 0.927918 nJ, 0.494584 nJ, 19.9941 mm2, 29.6423 mm2, 50.0751%, 4.06028 mm, 7.26797 mm, 0.1323 mm2, 0.508097 ns, 0.0221292 nJ
technology_0.078.txt, 14.5299 ns, 30.6592 ns, 48.368 ns, 20.1726 ns, 18.9495 ns, 4.65115 ns, 2.51303 nJ, 3.28383 nJ, 3.2839 nJ, 2.05659 nJ, 136.119 mm2, 194.913 mm2, 46.4063%, 10.8045 mm, 17.991 mm, 0.5292 mm2, 1.24074 ns, 0.108691 nJ
technology_0.065.txt, 14.5633 ns, 28.5771 ns, 45.0576 ns, 18.3474 ns, 17.5988 ns, 4.2018 ns, 1.8459 nJ, 2.56585 nJ, 2.5659 nJ, 1.48057 nJ, 89.4792 mm2, 129.288 mm2, 47.37%, 8.72164 mm, 14.7631 mm, 0.5292 mm2, 1.11835 ns, 0.0948557 nJ
