Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
dram_type_"DDR3".cfg.txt, 3.42906, -24.1667, 0.125, 932.317, 232.752, 27.503, 2061.34, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"DDR4".cfg.txt, 2.68935, 197.5, 0.08, 578.494, 232.752, 27.503, 753.764, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"WideIO".cfg.txt, 0.736083, -247.5, 0.235497, 321.124, 71.272, 10, 1.46956, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"LPDDR2".cfg.txt, 2.54427, -256.912, 0.15143, 1571.61, 120.592, 27, 40.9702, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
