Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
dram_dimm_"RDIMM".cfg.txt, 3.42906, -7.5, 0.125, 900.208, 232.752, 27.503, 2570.09, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_dimm_"UDIMM".cfg.txt, 3.42906, -24.1667, 0.125, 932.317, 232.752, 27.503, 2061.34, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_dimm_"LRDIMM".cfg.txt, 3.42906, -5e+06, -7987.86, 1051.18, 232.752, 27.503, 895.99, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
