Name, IO Area (sq.mm), IO Timing Margin (ps), IO Voltage Margin (V), IO Dynamic Power (mW), PHY Power (mW), PHY Wakeup Time (us), IO Termination and Bias Power (mW), Access time (ns), Cycle time (ns), Precharge Delay (ns), Activate Energy (nJ), Read Energy (nJ), Write Energy (nJ), Precharge Energy (nJ), Leakage Power Closed Page (mW), Leakage Power Open Page (mW), Leakage Power I/O (mW), Refresh power (mW), Cache height (mm), Cache width (mm)
dram_type_"DDR3".cfg.txt, 3.42906, 25.8333, 0.0837494, 854.151, 232.752, 27.503, 2693.45, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"DDR4".cfg.txt, 2.68935, 177.5, 0.0629749, 536.868, 232.752, 27.503, 796.343, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"WideIO".cfg.txt, 1.20045, -231.1, 0.275105, 242.389, 71.272, 10, 1.47009, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
dram_type_"LPDDR2".cfg.txt, 3.19099, -247.5, 0.170124, 651.718, 120.592, 27, 40.9704, 6.1071,  12.321, 0, 0.0361576, 0.868594, 0.868265, 0.209707, 1.28923, 1.28974, 29.9849, 0.0119225, 1.95398, 2.6451
