Name, t_RCD (Row to column command delay), t_RAS (Row access strobe latency), t_RC (Row cycle), t_CAS (Column access strobe latency), t_RP (Row precharge latency), t_RRD (Row activation to row activation delay), Activation energy, Read energy, Write energy, Precharge energy, DRAM core area, DRAM area per die, Area efficiency, DRAM die width, DRAM die height, TSV area overhead, TSV latency overhead, TSV energy overhead per access
page_size_131072.txt, 62.091 ns, 75.5124 ns, 97.5927 ns, 14.626 ns, 22.8221 ns, 3.21694 ns, 14.4324 nJ, 9.22305 nJ, 9.22305 nJ, 13.8601 nJ, 52.3064 mm2, 76.5683 mm2, 48.7486%, 98.2126 mm, 0.777222 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_8192.txt, 9.29712 ns, 20.569 ns, 32.6944 ns, 15.3087 ns, 12.8671 ns, 3.42638 ns, 1.14896 nJ, 1.70623 nJ, 1.70626 nJ, 0.911791 nJ, 54.3655 mm2, 78.6273 mm2, 47.472%, 6.76991 mm, 11.5795 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_1024.txt, 10.3345 ns, 38.1815 ns, 45.2862 ns, 114.827 ns, 7.84641 ns, 22.159 ns, 2.17037 nJ, 5.28781 nJ, 5.28783 nJ, 0.157561 nJ, 73.3119 mm2, 97.5738 mm2, 38.2541%, 1.04571 mm, 93.084 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_16384.txt, 10.2774 ns, 20.1569 ns, 32.2823 ns, 11.7659 ns, 12.8671 ns, 2.08834 ns, 1.92748 nJ, 1.88443 nJ, 1.88444 nJ, 1.77542 nJ, 53.877 mm2, 78.1389 mm2, 47.7687%, 13.3963 mm, 5.81532 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_32768.txt, 13.8826 ns, 23.4337 ns, 35.559 ns, 10.9034 ns, 12.8671 ns, 1.78416 ns, 3.68046 nJ, 2.79246 nJ, 2.79247 nJ, 3.50268 nJ, 53.9951 mm2, 78.257 mm2, 47.6966%, 26.5729 mm, 2.93614 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_65536.txt, 31.7525 ns, 44.0812 ns, 66.1615 ns, 12.7926 ns, 22.8221 ns, 2.15087 ns, 7.25756 nJ, 4.92785 nJ, 4.92785 nJ, 6.95411 nJ, 50.5812 mm2, 74.8431 mm2, 49.8723%, 49.8387 mm, 1.49699 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_4096.txt, 9.57306 ns, 23.5549 ns, 35.6802 ns, 23.8947 ns, 12.8671 ns, 6.10246 ns, 0.941172 nJ, 2.06487 nJ, 2.06494 nJ, 0.479977 nJ, 55.7139 mm2, 79.9757 mm2, 46.6716%, 3.44711 mm, 23.1326 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
page_size_2048.txt, 8.7528 ns, 26.9157 ns, 35.8495 ns, 46.309 ns, 9.67556 ns, 11.4546 ns, 1.22104 nJ, 3.08517 nJ, 3.08524 nJ, 0.264262 nJ, 67.0471 mm2, 91.309 mm2, 40.8787%, 1.96561 mm, 46.3336 mm, 0.2352 mm2, 0.741733 ns, 0.0481619 nJ
